#——	〔日-破折號,@中-破折夾注號〕
#……	〔中-刪節號〕
ퟆ	@@@@〔韓-HJEB〕
ퟋ	@@@@〔韓-HJEB〕
ퟌ	@@@@〔韓-HJEB〕
ퟍ	@@@@〔韓-HJEB〕
ퟎ	@@@@〔韓-HJEB〕
ퟏ	@@@@〔韓-HJEB〕
ퟐ	@@@@〔韓-HJEB〕
ퟑ	@@@@〔韓-HJEB〕
ퟒ	@@@@〔韓-HJEB〕
ퟓ	@@@@〔韓-HJEB〕
ퟔ	@@@@〔韓-HJEB〕
ퟕ	@@@@〔韓-HJEB〕
ퟖ	@@@@〔韓-HJEB〕
ퟗ	@@@@〔韓-HJEB〕
ퟘ	@@@@〔韓-HJEB〕
ퟙ	@@@@〔韓-HJEB〕
ퟚ	@@@@〔韓-HJEB〕
ퟛ	@@@@〔韓-HJEB〕
ퟜ	@@@@〔韓-HJEB〕
ퟝ	@@@@〔韓-HJEB〕
ퟞ	@@@@〔韓-HJEB〕
ퟟ	@@@@〔韓-HJEB〕
ퟠ	@@@@〔韓-HJEB〕
ퟡ	@@@@〔韓-HJEB〕
ퟢ	@@@@〔韓-HJEB〕
ퟣ	@@@@〔韓-HJEB〕
ퟤ	@@@@〔韓-HJEB〕
ퟥ	@@@@〔韓-HJEB〕
ퟦ	@@@@〔韓-HJEB〕
ퟧ	@@@@〔韓-HJEB〕
ퟨ	@@@@〔韓-HJEB〕
ퟩ	@@@@〔韓-HJEB〕
ퟪ	@@@@〔韓-HJEB〕
ퟫ	@@@@〔韓-HJEB〕
ퟬ	@@@@〔韓-HJEB〕
ퟭ	@@@@〔韓-HJEB〕
ퟮ	@@@@〔韓-HJEB〕
ퟯ	@@@@〔韓-HJEB〕
ퟰ	@@@@〔韓-HJEB〕
ퟱ	@@@@〔韓-HJEB〕
ퟲ	@@@@〔韓-HJEB〕
ퟳ	@@@@〔韓-HJEB〕
ퟴ	@@@@〔韓-HJEB〕
ퟵ	@@@@〔韓-HJEB〕
ퟶ	@@@@〔韓-HJEB〕
ퟷ	@@@@〔韓-HJEB〕
ퟸ	@@@@〔韓-HJEB〕
ퟹ	@@@@〔韓-HJEB〕
ퟺ	@@@@〔韓-HJEB〕
ퟻ	@@@@〔韓-HJEB〕
｀	〔全角〕
､	〔半角〕
˜	〔小型顎化符〕
˷	〔低顎化符〕
〰	〔浪線〕
⌇	〔豎浪線〕
＠	〔全角〕
®	〔註冊商標〕
©	〔版權〕
＄	〔全角〕
％	〔全角〕
＾	〔全角〕
＆	〔全角〕
°	〔度〕
℃	〔攝氏〕
Å	〔埃〕
＊	〔全角〕
⁽	〔上括號〕
⁾	〔上括號〕
₋	〔下標負號〕
¯	〔長音符〕
⁼	〔上標等號〕
⁺	〔上標正號〕
₊	〔下標正號〕
×	〔乘號〕
÷	〔除號〕
π	〔圓周率〕
¬	〔邏輯非〕
˂	〔修飾字母〕
〝	〔雙上標引號〕
˃	〔修飾字母〕
〟	〔雙下標引號〕
･	〔日-中黑半角〕
‥	〔二點前導符〕
＇	〔全角〕
＂	〔全角〕
／	〔全角〕
¿	〔倒問號〕
＞	〔全角〕
｡	〔半角〕
＜	〔全角〕
｜	〔全角〕
¦	〔間斷條〕
￤	〔全-間斷條〕
§	〔分節符號〕
¶	〔段落記號〕
々	〔重複記號〕
〃	〔同上記號〕
〻	〔反覆記號〕
ㄅ	〔注音〕
ㄆ	〔注音〕
ㄇ	〔注音〕
ㄈ	〔注音〕
ㄉ	〔注音〕
ㄊ	〔注音〕
ㄋ	〔注音〕
ㄌ	〔注音〕
ㄍ	〔注音〕
ㄎ	〔注音〕
ㄏ	〔注音〕
ㄐ	〔注音〕
ㄑ	〔注音〕
ㄒ	〔注音〕
ㄓ	〔注音〕
ㄔ	〔注音〕
ㄕ	〔注音〕
ㄖ	〔注音〕
ㄗ	〔注音〕
ㄘ	〔注音〕
ㄙ	〔注音〕
ㄧ	〔注音〕
ㄨ	〔注音〕
ㄩ	〔注音〕
ㄚ	〔注音〕
ㄛ	〔注音〕
ㄜ	〔注音〕
ㄝ	〔注音〕
ㄞ	〔注音〕
ㄟ	〔注音〕
ㄠ	〔注音〕
ㄡ	〔注音〕
ㄢ	〔注音〕
ㄣ	〔注音〕
ㄤ	〔注音〕
ㄥ	〔注音〕
ㄦ	〔注音〕
ㄪ	〔注音老國音〕
ㄫ	〔注音老國音〕
ㄬ	〔注音老國音〕
ㄭ	〔注音擴充〕
ㄮ	〔注音擴充〕
ㄯ	〔注音擴充〕
ㆠ	〔注音擴充〕
ㆡ	〔注音擴充〕
ㆢ	〔注音擴充〕
ㆣ	〔注音擴充〕
ㆤ	〔注音擴充〕
ㆥ	〔注音擴充〕
ㆦ	〔注音擴充〕
ㆧ	〔注音擴充〕
ㆨ	〔注音擴充〕
ㆩ	〔注音擴充〕
ㆪ	〔注音擴充〕
ㆫ	〔注音擴充〕
ㆬ	〔注音擴充〕
ㆭ	〔注音擴充〕
ㆮ	〔注音擴充〕
ㆯ	〔注音擴充〕
ㆰ	〔注音擴充〕
ㆱ	〔注音擴充〕
ㆲ	〔注音擴充〕
ㆳ	〔注音擴充〕
ㆴ	〔注音擴充〕
ㆵ	〔注音擴充〕
ㆶ	〔注音擴充〕
ㆷ	〔注音擴充〕
ㆸ	〔注音擴充〕
ㆹ	〔注音擴充〕
ㆺ	〔注音擴充〕
０	〔全角〕
１	〔全角〕
２	〔全角〕
３	〔全角〕
４	〔全角〕
５	〔全角〕
６	〔全角〕
７	〔全角〕
８	〔全角〕
９	〔全角〕
⁰	〔上標〕
¹	〔上標〕
²	〔上標〕
³	〔上標〕
⁴	〔上標〕
⁵	〔上標〕
⁶	〔上標〕
⁷	〔上標〕
⁸	〔上標〕
⁹	〔上標〕
₀	〔下標〕
₁	〔下標〕
₂	〔下標〕
₃	〔下標〕
₄	〔下標〕
₅	〔下標〕
₆	〔下標〕
₇	〔下標〕
₈	〔下標〕
₉	〔下標〕
